id,Name,Aerial Duels won,Age,Assists,Attacking options created,Attempted Passes,Blocks,Clearances,Country_val,Expected Goal Contributions,Interceptions,Open Play Goals,Open Play Expected Goals,Percentage of Passes Completed,Progressive Passes Rec,Progressive Passes,Progressive Carries,Shots,Successful Dribbles,Touches in attacking penalty area,Tackles,Value at beginning of 2020/21 season,Value at beginning of 2021/22 season,Value at beginning of 2022/23 season,Value at beginning of 2023/24 season
1559,Tanguy Zoukrou,1.2,20,0,0.56,38.9,3.17,4.23,2,0.02,0.4,0,0,86.4,0.53,1.94,0,0,0.35,0.18,2.47,,0.4,0.4,1
509,Flavius Daniliuc,1.6,22,0.08,0.79,46.9,1.34,3.03,50,0.02,1.2,0,0.02,86.2,0.32,2.91,0.63,0.39,0.08,0.67,2.32,1,7,8,8
1135,Michail Antonio,2.5,33,0.15,2.02,17.1,0.64,0.44,50,0.06,0.3,0.25,0.36,53.4,5.9,1.33,2.41,1.92,1.28,3.94,0.69,12,12,10,7
1250,Noah Weisshaupt,0.8,21,0.16,2.98,35.8,0.79,1.42,14,0.17,1,0,0.03,68.7,5.67,3.31,3.47,0.47,1.42,1.58,2.52,0.025,0.8,1.3,4
1420,Rodrygo,0.5,22,0.28,4.87,39.9,1.01,0.31,3,0.26,0.5,0.31,0.51,86.9,9.85,2.87,5.18,3.38,2.67,7.18,0.68,45,40,60,100
103,Andre Silva,1,26,0.24,3.29,25.6,0.71,0.16,3,0.15,0.2,0.28,0.51,74.5,7.45,2.26,1.82,2.97,1.07,5.87,0.71,28,0.9,1.2,15
586,Guillermo Maripan,2,29,0,0.56,47.9,1.56,3.65,31,0,1.6,0.11,0.07,87.5,0,2.83,0.21,0.6,0.04,0.92,1.77,10,15,15,10
1505,Sergio Canales,0.5,32,0.09,4.36,59.1,0.66,0.28,10,0.24,0.5,0.16,0.16,77.7,5.52,5.9,3.21,1.72,1.03,2.03,0.94,20,20,20,15
1143,Miguel Veloso,1.1,37,0,2.93,46.4,2.01,1.08,9,0.17,0.5,0,0.05,71.6,1.7,6.5,1.32,1.24,0.31,0.54,2.55,1,0.9,0.9,0.5
53,Aleksandr Golovin,0.7,27,0.21,4.53,40,1.14,0.32,50,0.2,1.4,0.23,0.2,70.4,7.92,4.72,3.11,1.73,0.94,2.9,2.2,20,25,25,28
151,Arber Zeneli,0.4,28,0.18,4.44,38.7,0.72,0.18,50,0.3,0.2,0,0.21,70.2,10.62,4.59,4.05,2.79,1.53,5.04,0.81,5,4,4.5,3.5
403,Eberechi Eze,0.7,25,0.14,4.23,40.2,0.75,0.34,5,0.16,0.5,0.31,0.25,78.4,4.4,4.47,2.36,2.39,2.42,2.87,1.43,18,20,22,40
1650,Wataru Endo,2.3,30,0.12,2.72,45.5,1.36,1.94,20,0.15,0.8,0.15,0.14,79.2,2.06,5.27,0.99,1.39,0.86,1.69,2.16,6,10,8,6.5
207,Bobby Reid,0.4,30,0.04,2.06,33,0.91,1.02,50,0.06,0.8,0.15,0.16,70.1,6.76,2.29,1.67,1.13,0.65,2.8,1.53,8,8,7,7
1607,Toni Kroos,0.3,33,0.18,4.28,101.8,0.9,0.39,14,0.17,1,0.06,0.06,91,1.38,12.22,1.77,1.23,0.33,0.6,2.31,50,25,20,15
1122,Maya Yoshida,2.9,34,0,1.04,49.6,1.41,4.65,20,0,1.7,0,0.05,76.1,0.14,3,0.25,0.42,0.21,0.78,1.2,9,8,12,0.9
1491,Sebastiano Luperto,2.1,26,0,0.36,49,1.55,4.68,8,0.02,1.3,0.06,0.03,86.5,0.09,2.07,0.37,0.52,0.06,0.66,0.95,3.2,2.5,3,3
8,Abdou Diallo,2,27,0,1.61,73,1.15,3.32,18,0.03,1.2,0.13,0.06,86.9,0.51,6.38,1.79,0.64,1.02,1.15,1.28,25,25,22,10
1014,Mamadou Sakho,2.6,33,0,0.49,54.1,2.01,4.13,2,0.02,1,0.12,0.07,86.5,0.24,3.89,0,0.35,0.12,0.59,1.06,3.5,5,4.5,2.5
1526,Souleyman Doumbia,0.9,26,0,1.69,47.9,1.01,1.36,50,0.09,1.4,0,0.06,80,4.78,2.92,2.61,0.35,1.36,1.01,2.26,2.5,2.5,3,2.5
1060,Martin Odegaard,0.4,24,0.19,5.05,52,0.56,0.32,50,0.28,0.2,0.4,0.3,80.4,5.53,7.74,2.46,2.56,1.31,3.55,1.1,2,4,5.5,90
452,Erik Lamela,0.9,31,0.07,4.08,37.7,1.45,0.15,1,0.11,0.4,0.29,0.27,77.6,7.71,3.53,3.05,2.18,1.56,5.13,2,16,20,16,9
253,Cenk Ozkacar,3.2,22,0,1.25,50.7,0.92,3.1,50,0.01,0.8,0,0.06,84,0.13,4.02,1.52,0.73,0.66,1.05,1.78,1.2,1.2,1.7,5
1327,Pere Milla,1.4,30,0.05,2.21,28.6,0.88,0.93,10,0.06,0.5,0.15,0.17,70.1,4.05,3.17,1.12,1.61,0.83,2.88,1.51,0.6,1.8,3,3
896,Konrad Laimer,0.2,26,0,2.51,43.8,1.82,0.52,50,0.15,1.1,0.16,0.16,79.6,3.12,5.15,2.92,1.15,1.67,2.29,3.64,30,26,28,28
1616,Tyrell Malacia,0.5,24,0,2.07,56.7,1.09,2.49,50,0.06,1.5,0,0.03,87.3,2.8,4.11,1.75,0.44,0.61,1.53,3.02,3.2,9,10,22
880,Kieran Trippier,1.3,32,0.19,5.04,75.1,1.21,2.26,5,0.35,1.2,0.03,0.02,71.6,4.07,7,1.21,0.38,0.51,0.7,1.91,20,18,15,11
1602,Tomas Rincon,1.2,35,0.07,1.44,43.9,1.3,0.63,50,0.04,1.1,0,0.02,81.8,1.23,4.3,0.95,0.39,0.95,0.7,1.97,3,1,1,0.8
623,Hwang Hee-chan,0.6,27,0.08,2.51,22.3,1.43,0.4,50,0.1,0.4,0.24,0.26,76.4,4.78,2.39,1.99,1.43,1.04,3.03,1.59,15,13,16,12
345,David Alaba,0.5,31,0.11,1.48,58.8,1.06,1.73,50,0.06,0.8,0.04,0.05,87.4,3.04,3.04,0.85,0.67,0.21,1.06,0.81,65,55,55,40
1454,Sadio Mane,1.4,31,0.27,4.21,28.4,1.14,0.27,18,0.24,0.2,0.41,0.46,75,10.52,3.69,3.92,3.1,1.64,7.65,0.96,120,80,70,25
262,Charles Traore,1,31,0,1.01,44.7,1.76,2.87,50,0.09,1.8,0,0,75.4,1.6,2.07,0.64,0,0,0.48,1.76,2.5,1.8,1.5,0.6
1321,Pedro Chirivella,0.4,26,0.07,2.38,61.5,1.05,0.32,10,0.08,0.9,0,0.03,85.9,0.97,7.79,0.65,0.61,0.4,0.36,1.44,2.5,4,6,6
150,Antony,0.3,23,0.07,3.96,40.3,0.96,0.41,3,0.17,0.5,0.22,0.35,79.2,9.21,3.77,4.55,3.44,1.63,4.1,1.18,18,0.2,35,60
472,Fabio Quagliarella,1,40,0.11,2.72,27.6,0.56,1.01,8,0.09,0,0.11,0.36,64.9,8.1,2.81,0.56,4.05,0.45,5.18,0.23,1,1,1,0.5
640,Ilkay Gundogan,0.8,32,0.16,3.53,62.7,0.7,0.51,14,0.14,0.8,0.24,0.25,87.7,4.49,6.61,2.07,1.94,0.73,3.2,1.13,40,35,25,20
1685,Youcef Atal,1,27,0,3.76,58.8,1.04,1.5,50,0.16,1.7,0.12,0.14,80.2,7.28,4.51,4.39,1.39,2.2,2.08,4.39,20,15,15,7
1599,Tom Cairney,0.7,32,0,4.31,68.3,1.64,0.27,50,0.14,0.5,0.18,0.16,84.3,5.19,8.38,3.1,1.91,0.82,2.82,1.55,9,6,5,2
550,Georginio Wijnaldum,1.2,32,0,1.9,23.4,0.74,0.82,50,0.08,0.4,0.16,0.21,82,3.29,1.97,1.56,1.81,1.07,2.71,0.33,40,25,22,8
928,Lee Jae-sung,1.9,31,0.24,2.9,37.3,1.38,1,50,0.14,0.8,0.33,0.23,71.8,4.89,3.28,1.38,1.66,1.19,3.66,1.81,2,3.5,3,4
488,Federico Dimarco,0.2,25,0.26,4.46,53.3,0.8,1.25,8,0.34,0.9,0.13,0.16,72.3,7.98,3.93,2.22,2,0.29,2.8,1.29,7,16,18,35
1540,Stephane Diarra,0.4,24,0,3.11,27.7,1.1,0.76,50,0.15,1.9,0.17,0.21,73.2,7.18,2.79,3.38,1.69,2.03,3.38,2.11,2.5,1.8,1.5,2.5
1171,Morten Hjulmand,1.3,24,0.12,1.91,40.3,1.31,1.64,19,0.06,2.3,0,0.02,78.5,0.49,4.83,0.27,0.52,0.52,0.18,2.73,0.7,2.3,3,15
146,Antonio Raillo,3,31,0.1,0.51,35.4,1.24,5.14,10,0.04,1,0.07,0.02,82.9,0.16,1.63,0.26,0.42,0.07,1.11,1.11,2,1.5,2,4
1637,Vinicius Souza,2.7,24,0.04,1.28,33.7,1.15,1.85,3,0.02,1.8,0.04,0.03,79.9,0.52,3.04,0.48,0.37,0.37,0.74,3.67,0.2,0.5,1,6
